path,os,software,category,type
/etc/security/failedlogin,AIX,AIX,*NIX,log
/etc/security/lastlog,AIX,AIX,*NIX,log
/etc/utmp,AIX,AIX,*NIX,log
/usr/spool/mqueue/syslog,AIX,AIX,*NIX,log
/var/adm/cron/log,AIX,AIX,*NIX,log
/var/adm/qacct,AIX,AIX,*NIX,log
/var/adm/ras/bootlog,AIX,AIX,*NIX,log
/var/adm/ras/errlog,AIX,AIX,*NIX,log
/etc/bash.bashrc,*NIX,Bash,*NIX,other
/etc/bash_completion.d/debconf,*NIX,Bash,*NIX,other
/root/.bash_config,*NIX,Bash,*NIX,other
/root/.bash_history,*NIX,Bash,*NIX,other
/root/.bash_logout,*NIX,Bash,*NIX,other
/root/.bashrc,*NIX,Bash,*NIX,other
/usr/lib/cron/log,*NIX,Bash,*NIX,other
/usr/spool/lp/log,*NIX,Bash,*NIX,other
/var/adm/SYSLOG,*NIX,Bash,*NIX,other
/var/adm/X0msgs,*NIX,Bash,*NIX,other
/var/adm/acct/sum/loginlog,*NIX,Bash,*NIX,other
/var/adm/crash/unix,*NIX,Bash,*NIX,other
/var/adm/crash/vmcore,*NIX,Bash,*NIX,other
/var/adm/dtmp,*NIX,Bash,*NIX,other
/var/adm/lastlog/username,*NIX,Bash,*NIX,other
/var/adm/loginlog,*NIX,Bash,*NIX,other
/var/adm/lp/lpd-errs,*NIX,Bash,*NIX,other
/var/adm/pacct,*NIX,Bash,*NIX,other
/var/adm/sulog,*NIX,Bash,*NIX,other
/var/adm/utmp,*NIX,Bash,*NIX,other
/var/adm/utmpx,*NIX,Bash,*NIX,other
/var/adm/wtmp,*NIX,Bash,*NIX,other
/var/adm/wtmpx,*NIX,Bash,*NIX,other
/etc/bluetooth/input.conf,*NIX,Bluetooth,*NIX,conf
/etc/bluetooth/main.conf,*NIX,Bluetooth,*NIX,conf
/etc/bluetooth/network.conf,*NIX,Bluetooth,*NIX,conf
/etc/bluetooth/rfcomm.conf,*NIX,Bluetooth,*NIX,conf
/etc/newsyslog.conf,FreeBSD,FreeBSD,*NIX,conf
/var/adm/aculog,SunOS,SunOS,*NIX,log
/var/adm/aculogs,SunOS,SunOS,*NIX,log
/var/adm/log/asppp.log,SunOS,SunOS,*NIX,log
/var/adm/messages,SunOS,SunOS,*NIX,log
/var/adm/vold.log,SunOS,SunOS,*NIX,log
/var/cron/log,SunOS,SunOS,*NIX,log
/var/log/POPlog,SunOS,SunOS,*NIX,log
/var/log/authlog,SunOS,SunOS,*NIX,log
/var/lp/logs/lpNet,SunOS,SunOS,*NIX,log
/var/lp/logs/lpsched,SunOS,SunOS,*NIX,log
/var/lp/logs/requests,SunOS,SunOS,*NIX,log
/var/saf/_log,SunOS,SunOS,*NIX,log
/var/saf/port/log,SunOS,SunOS,*NIX,log
/etc/X11/xorg.conf,*NIX,X11,*NIX,conf
/etc/X11/xorg.conf-vesa,*NIX,X11,*NIX,conf
/etc/X11/xorg.conf-vmware,*NIX,X11,*NIX,conf
/etc/X11/xorg.conf.BeforeVMwareToolsInstall,*NIX,X11,*NIX,conf
/etc/X11/xorg.conf.orig,*NIX,X11,*NIX,conf
/etc/kong/kong.conf,*NIX,Kong,API Gateway,conf
/etc/clamav/clamd.conf,*NIX,ClamAV,Antivirus,log
/etc/clamav/freshclam.conf,*NIX,ClamAV,Antivirus,log
/etc/keycloak/standalone.xml,*NIX,Keycloak,Authentication,conf
/etc/shibboleth/shibboleth2.xml,*NIX,Shibboleth,Authentication,conf
/etc/bacula/bacula-dir.conf,*NIX,Bacula,Backup Systems,conf
/etc/rsnapshot.conf,*NIX,Rsnapshot,Backup Systems,conf
/etc/varnish/secret,*NIX,Varnish,CDN,conf
/var/lib/jenkins/credentials.xml,*NIX,Jenkins,CI/CD,conf
/var/lib/jenkins/secrets/master.key,*NIX,Jenkins,CI/CD,conf
/etc/cloud/cloud.cfg,*NIX,Cloud-Init,Cloud Infrastructure,conf
/var/lib/cloud/instance/user-data.txt,*NIX,Cloud-Init,Cloud Infrastructure,conf
/etc/docker/daemon.json,*NIX,Docker,Containerization,conf
/etc/rancher/k3s/k3s.yaml,*NIX,K3s,Containerization,conf
/etc/cassandra/cassandra.yaml,*NIX,Cassandra,Databases,conf
/etc/couchdb/local.ini,*NIX,CouchDB,Databases,conf
/etc/mongodb/mongodb.conf,*NIX,MongoDB,Databases,conf
/etc/my.cnf,*NIX,MySQL,Databases,conf
/etc/mysql/my.cnf,*NIX,MySQL,Databases,conf
/var/lib/mysql/my.cnf,*NIX,MySQL,Databases,conf
/MySQL/my.cnf,Windows,MySQL,Databases,conf
/MySQL/my.ini,Windows,MySQL,Databases,conf
/Program Files/MySQL/MySQL Server 5.0/my.cnf,Windows,MySQL,Databases,conf
/Program Files/MySQL/MySQL Server 5.0/my.ini,Windows,MySQL,Databases,conf
/Program Files/MySQL/my.cnf,Windows,MySQL,Databases,conf
/Program Files/MySQL/my.ini,Windows,MySQL,Databases,conf
/mysql/bin/my.ini,Windows,MySQL,Databases,conf
/etc/mysql/conf.d/old_passwords.cnf,*NIX,MySQL,Databases,log
/var/data/mysql-bin.index,*NIX,MySQL,Databases,log
/var/log/data/mysql-bin.index,*NIX,MySQL,Databases,log
/var/log/mysql-bin.index,*NIX,MySQL,Databases,log
/var/log/mysql.err,*NIX,MySQL,Databases,log
/var/log/mysql.log,*NIX,MySQL,Databases,log
/var/log/mysql/data/mysql-bin.index,*NIX,MySQL,Databases,log
/var/log/mysql/mysql-bin.index,*NIX,MySQL,Databases,log
/var/log/mysql/mysql-bin.log,*NIX,MySQL,Databases,log
/var/log/mysql/mysql-slow.log,*NIX,MySQL,Databases,log
/var/log/mysql/mysql.log,*NIX,MySQL,Databases,log
/var/log/mysqlderror.log,*NIX,MySQL,Databases,log
/var/mysql-bin.index,*NIX,MySQL,Databases,log
/var/mysql.log,*NIX,MySQL,Databases,log
/usr/local/mysql/data/mysql-bin.index,OSX,MySQL,Databases,log
/usr/local/mysql/data/mysql-bin.log,OSX,MySQL,Databases,log
/usr/local/mysql/data/mysql-slow.log,OSX,MySQL,Databases,log
/usr/local/mysql/data/mysql.err,OSX,MySQL,Databases,log
/usr/local/mysql/data/mysql.log,OSX,MySQL,Databases,log
/usr/local/mysql/data/mysqlderror.log,OSX,MySQL,Databases,log
